127.0.0.1 - - [24/Oct/2020:12:14:02 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:14:08 +0530] "GET /Aios/ HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:14:39 +0530] "GET /Aios/index HTTP/1.1" 200 9290
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:15:10 +0530] "GET /Aios/index HTTP/1.1" 200 9290
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:15:13 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:18:10 +0530] "GET /Aios/login? HTTP/1.1" 200 5939
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:18:10 +0530] "GET /Aios/pic.png HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:18:49 +0530] "GET /Aios/index HTTP/1.1" 200 9290
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:18:57 +0530] "GET /Aios/login? HTTP/1.1" 200 5939
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:19:13 +0530] "POST /Aios/login HTTP/1.1" 200 5966
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:19:13 +0530] "POST /Aios/login HTTP/1.1" 200 5966
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:19:23 +0530] "POST /Aios/login HTTP/1.1" 200 6318
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:20:06 +0530] "GET /Aios/leave HTTP/1.1" 200 11715
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:20:08 +0530] "GET /fonts/OpenSans/OpenSans-Regular.ttf HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:20:27 +0530] "GET /Aios/application HTTP/1.1" 200 5295
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:20:51 +0530] "POST /Aios/application HTTP/1.1" 200 5305
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:20:54 +0530] "GET /Aios/leave HTTP/1.1" 200 12255
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:20:55 +0530] "GET /fonts/OpenSans/OpenSans-Regular.ttf HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:20:58 +0530] "GET /Aios/index HTTP/1.1" 200 9290
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:21:00 +0530] "GET /Aios/login? HTTP/1.1" 200 5939
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:21:08 +0530] "POST /Aios/login HTTP/1.1" 200 6312
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:21:12 +0530] "GET /Aios/leave HTTP/1.1" 200 9809
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:21:13 +0530] "GET /fonts/OpenSans/OpenSans-Regular.ttf HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:21:17 +0530] "GET /Aios/status HTTP/1.1" 200 4225
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:21:29 +0530] "GET /Aios/accept.jsp?qid=14&id=null HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:21:29 +0530] "GET /Aios/status HTTP/1.1" 200 3318
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:21:32 +0530] "GET /Aios/bonus HTTP/1.1" 200 5197
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:21:37 +0530] "GET /Aios/leave HTTP/1.1" 200 9809
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:21:39 +0530] "GET /fonts/OpenSans/OpenSans-Regular.ttf HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:21:40 +0530] "GET /Aios/index HTTP/1.1" 200 9290
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:22:02 +0530] "GET /Aios/login? HTTP/1.1" 200 5939
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:22:09 +0530] "POST /Aios/login HTTP/1.1" 200 6318
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:22:14 +0530] "GET /Aios/leave HTTP/1.1" 200 12246
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:22:15 +0530] "GET /fonts/OpenSans/OpenSans-Regular.ttf HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:22:16 +0530] "GET /Aios/application HTTP/1.1" 200 5295
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:22:50 +0530] "GET /Aios/leave HTTP/1.1" 200 12246
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:22:51 +0530] "GET /fonts/OpenSans/OpenSans-Regular.ttf HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:23:22 +0530] "GET /Aios/application HTTP/1.1" 200 5295
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:23:52 +0530] "GET /Aios/index HTTP/1.1" 200 9290
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:27:28 +0530] "GET /Aios/login? HTTP/1.1" 200 5939
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:27:34 +0530] "POST /Aios/login HTTP/1.1" 200 6312
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:27:38 +0530] "GET /Aios/leave HTTP/1.1" 200 9809
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:27:40 +0530] "GET /fonts/OpenSans/OpenSans-Regular.ttf HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:27:41 +0530] "GET /Aios/status HTTP/1.1" 200 3318
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:28:10 +0530] "GET /Aios/index HTTP/1.1" 200 9290
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:28:12 +0530] "GET /Aios/login? HTTP/1.1" 200 5939
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:28:20 +0530] "POST /Aios/login HTTP/1.1" 200 6318
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:28:23 +0530] "GET /Aios/leave HTTP/1.1" 200 12246
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:28:25 +0530] "GET /fonts/OpenSans/OpenSans-Regular.ttf HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:28:28 +0530] "GET /Aios/application HTTP/1.1" 200 5295
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:31:24 +0530] "GET /Aios/leave HTTP/1.1" 200 12246
0:0:0:0:0:0:0:1 - - [24/Oct/2020:12:31:26 +0530] "GET /fonts/OpenSans/OpenSans-Regular.ttf HTTP/1.1" 404 1021
